============================================================
nanochat base_train
============================================================
COMPUTE_DTYPE: torch.float32 (auto-detected: no CUDA (CPU/MPS))
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/keef/.netrc.
wandb: Currently logged in as: kwizzlesurp10 (kwizzlesurp10-sevtech) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: WARNING Using a boolean value for 'reinit' is deprecated. Use 'return_previous' or 'finish_previous' instead.
wandb: setting up run kwsklty4
wandb: Tracking run with wandb version 0.25.1
wandb: Run data is saved locally in /home/keef/nanochatkwizzle/wandb/run-20260321_193133-kwsklty4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run browser_verify_base
wandb: ⭐️ View project at https://wandb.ai/kwizzlesurp10-sevtech/nanochat
wandb: 🚀 View run at https://wandb.ai/kwizzlesurp10-sevtech/nanochat/runs/kwsklty4
Attention: PyTorch SDPA (FA3 is optional; Hopper sm90+ + bf16 enables it). Training is supported on this GPU.
Using --window-pattern L (requested 'SSSL' coerced for SDPA — full-context attention is much faster than sliding-window masks here).
Vocab size: 32,768
Model config:
{
  "sequence_len": 256,
  "vocab_size": 32768,
  "n_layer": 2,
  "n_head": 1,
  "n_kv_head": 1,
  "n_embd": 64,
  "dropout": 0.1,
  "lora_rank": 0,
  "lora_alpha": 16,
  "window_pattern": "L"
}
Parameter counts:
wte                     : 2,097,152
value_embeds            : 2,097,152
lm_head                 : 2,097,152
transformer_matrices    : 98,316
scalars                 : 30
total                   : 6,389,802
Estimated FLOPs per token: 1.356602e+07
Scaling LRs by 0.1250 for batch size 8,192 (reference: 524,288)
Scaling weight decay from 0.100000 to 0.066046 for depth 2
Scaling the LR for the AdamW parameters ∝1/√(64/768) = 3.464102
Using user-provided number of iterations: 100
Total number of training tokens: 819,200
Tokens : Scaling params ratio: 0.37
Total training FLOPs estimate: 1.111329e+13
Tokens / micro-batch / rank: 4 x 256 = 1,024
Tokens / micro-batch: 1,024
Total batch size 8,192 => gradient accumulation steps: 8
Step 00000 | Validation bpb: 3.162127
step 00000/00100 (0.00%) | loss: 10.396631 | lrm: 0.00 | dt: 16832.11ms | tok/sec: 486 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00001/00100 (1.00%) | loss: 10.396696 | lrm: 0.00 | dt: 2017.37ms | tok/sec: 4,060 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00002/00100 (2.00%) | loss: 10.396878 | lrm: 0.00 | dt: 1921.46ms | tok/sec: 4,263 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00003/00100 (3.00%) | loss: 10.397019 | lrm: 0.00 | dt: 1756.34ms | tok/sec: 4,664 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00004/00100 (4.00%) | loss: 10.397021 | lrm: 0.00 | dt: 1624.40ms | tok/sec: 5,043 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00005/00100 (5.00%) | loss: 10.397088 | lrm: 0.00 | dt: 1895.66ms | tok/sec: 4,321 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00006/00100 (6.00%) | loss: 10.397203 | lrm: 0.00 | dt: 2011.35ms | tok/sec: 4,072 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00007/00100 (7.00%) | loss: 10.397179 | lrm: 0.00 | dt: 1681.87ms | tok/sec: 4,870 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00008/00100 (8.00%) | loss: 10.397222 | lrm: 0.00 | dt: 1651.04ms | tok/sec: 4,961 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00009/00100 (9.00%) | loss: 10.397237 | lrm: 0.01 | dt: 1639.67ms | tok/sec: 4,996 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00010/00100 (10.00%) | loss: 10.397203 | lrm: 0.01 | dt: 1997.79ms | tok/sec: 4,100 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.00m
step 00011/00100 (11.00%) | loss: 10.397188 | lrm: 0.01 | dt: 1862.68ms | tok/sec: 4,397 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.03m | eta: 2.8m
step 00012/00100 (12.00%) | loss: 10.397162 | lrm: 0.01 | dt: 1677.49ms | tok/sec: 4,883 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.06m | eta: 2.6m
step 00013/00100 (13.00%) | loss: 10.397155 | lrm: 0.01 | dt: 1691.93ms | tok/sec: 4,841 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.09m | eta: 2.5m
step 00014/00100 (14.00%) | loss: 10.397192 | lrm: 0.01 | dt: 1701.21ms | tok/sec: 4,815 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.12m | eta: 2.5m
step 00015/00100 (15.00%) | loss: 10.397193 | lrm: 0.01 | dt: 1926.47ms | tok/sec: 4,252 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.15m | eta: 2.5m
step 00016/00100 (16.00%) | loss: 10.397197 | lrm: 0.01 | dt: 1813.58ms | tok/sec: 4,517 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.18m | eta: 2.5m
step 00017/00100 (17.00%) | loss: 10.397242 | lrm: 0.01 | dt: 1658.38ms | tok/sec: 4,939 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.21m | eta: 2.4m
step 00018/00100 (18.00%) | loss: 10.397252 | lrm: 0.01 | dt: 1603.14ms | tok/sec: 5,109 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.23m | eta: 2.4m
step 00019/00100 (19.00%) | loss: 10.397218 | lrm: 0.01 | dt: 1706.05ms | tok/sec: 4,801 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.26m | eta: 2.3m
step 00020/00100 (20.00%) | loss: 10.397261 | lrm: 0.01 | dt: 1866.09ms | tok/sec: 4,389 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.29m | eta: 2.3m
step 00021/00100 (21.00%) | loss: 10.397276 | lrm: 0.01 | dt: 1701.48ms | tok/sec: 4,814 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.32m | eta: 2.3m
step 00022/00100 (22.00%) | loss: 10.397238 | lrm: 0.01 | dt: 1649.73ms | tok/sec: 4,965 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 1 | total time: 0.35m | eta: 2.3m
step 00023/00100 (23.00%) | loss: 10.397185 | lrm: 0.01 | dt: 1665.17ms | tok/sec: 4,919 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.38m | eta: 2.2m
step 00024/00100 (24.00%) | loss: 10.397143 | lrm: 0.01 | dt: 1790.73ms | tok/sec: 4,574 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.41m | eta: 2.2m
step 00025/00100 (25.00%) | loss: 10.397108 | lrm: 0.01 | dt: 2004.78ms | tok/sec: 4,086 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.44m | eta: 2.2m
step 00026/00100 (26.00%) | loss: 10.397146 | lrm: 0.01 | dt: 1685.87ms | tok/sec: 4,859 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.47m | eta: 2.2m
step 00027/00100 (27.00%) | loss: 10.397158 | lrm: 0.01 | dt: 1672.58ms | tok/sec: 4,897 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.49m | eta: 2.1m
step 00028/00100 (28.00%) | loss: 10.397150 | lrm: 0.01 | dt: 1680.91ms | tok/sec: 4,873 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.52m | eta: 2.1m
step 00029/00100 (29.00%) | loss: 10.397142 | lrm: 0.01 | dt: 1935.28ms | tok/sec: 4,232 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.55m | eta: 2.1m
step 00030/00100 (30.00%) | loss: 10.397169 | lrm: 0.02 | dt: 1669.89ms | tok/sec: 4,905 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.58m | eta: 2.0m
step 00031/00100 (31.00%) | loss: 10.397171 | lrm: 0.02 | dt: 1635.17ms | tok/sec: 5,009 | bf16_mfu: 0.00 | epoch: 1 pq: 0 rg: 2 | total time: 0.61m | eta: 2.0m
